appid,name,developer,publisher,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
604990,Stratside,Albert Espín,Albert Espín,6,0,0,"200,000 .. 500,000",0,0,0,0,124,499,75,1,"English, Spanish - Spain","Casual, Indie, Strategy","Tower Defense, Logic, Casual, Relaxing, Lemmings, Space, Inventory Management, Auto Battler, Artificial Intelligence, Level Editor, 2.5D, Side Scroller, Tutorial, Great Soundtrack, Family Friendly, Sci-fi, Procedural Generation, Resource Management, Management, Base-Building"
397870,Arcane Sorcery,Andrew Rowe,Andrew Rowe,30,24,0,"200,000 .. 500,000",187,0,187,0,0,0,0,1,English,"Indie, Strategy","4X, Grand Strategy, Turn-Based Tactics, Exploration, PvE, Turn-Based, Turn-Based Strategy, God Game, Strategy, 2D, Isometric, Top-Down, Turn-Based Combat, Realistic, Fantasy, Medieval, Military, Tactical, Logic, Mythology"
562540,Cabals: Card Blitz,Kyy Games,BISBOG SA,52,44,0,"200,000 .. 500,000",0,0,0,0,0,0,0,1,"English, Italian, Spanish - Spain, French, Dutch, Portuguese - Portugal, Turkish, German, Japanese, Korean, Polish, Russian, Simplified Chinese, Traditional Chinese","Free to Play, Strategy","Free to Play, Trading Card Game, Card Game, Card Battler, Hand-drawn, Strategy, Dystopian , 2D, Board Game, Dark, Nudity, Historical, Horror, RPG, Illuminati, Magic, Military, Mythology, Psychological Horror, Steampunk"
619340,EGOS - Tales of Fallen Souls,NEZOS GAMES,NEZOS GAMES,40,30,0,"100,000 .. 200,000",379,0,454,0,99,99,0,1,"English, Spanish - Spain","Adventure, Casual, Indie, Early Access","Early Access, Adventure, Casual, Indie, Puzzle, Fantasy, Dark Fantasy, 3D Platformer, Horror, Dark Comedy, Survival Horror"
586620,OR,Camagames,Future Lighthouse,57,104,0,"200,000 .. 500,000",220,0,229,0,99,199,50,1,English,"Casual, Indie","Casual, Indie, Puzzle"
390570,Three Digits,Cleverweek,Cleverweek,75,74,0,"200,000 .. 500,000",315,0,271,0,199,199,0,1,English,"Casual, Indie","Indie, Casual, Puzzle, Minimalist"
575860,Tomb Joe,Amaterasu Software,Amaterasu Software,70,92,0,"200,000 .. 500,000",216,0,226,0,54,99,45,1,English,"Action, Adventure, Casual, Indie","Casual, Adventure, Action, Indie, Platformer"
585560,Finnish Roller,Tero Lunkka,Tero Lunkka,44,70,0,"200,000 .. 500,000",227,0,217,0,49,99,51,1,English,"Action, Adventure, Casual, Indie","Indie, Casual, Action, Adventure"
1291170,Terrordrome - Reign of the Legends,Huracan Studio,Forthright Entertainment,75,17,0,"100,000 .. 200,000",0,0,0,0,1499,1499,0,1,English,"Action, Adventure, Casual, Indie, Early Access","Early Access, 2D Fighter, Action, Horror, Fighting, Dark, Gothic, 3D, Multiplayer, Singleplayer, PvP, Local Multiplayer, Modern, Vampire, Werewolves, Demons, Thriller, Martial Arts, Psychological Horror, Conspiracy"
632050,The Village,Softwaves,SA Industry,51,46,0,"100,000 .. 200,000",306,0,306,0,49,499,90,1,"English, Portuguese - Brazil","Action, Casual, Indie, Strategy","Action, Strategy, Indie, Casual, Horror, Shooter"
1516320,Skeleton King,Forbidden Knowledge,Forbidden Knowledge,23,1,0,"100,000 .. 200,000",0,0,0,0,49,99,51,1,"English, French, Spanish - Spain, Portuguese - Portugal, Portuguese - Brazil, Spanish - Latin America","Casual, Indie, Racing, Simulation","Horror, Relaxing, Realistic, Third Person, Runner, Casual, Walking Simulator, Procedural Generation, Score Attack, Dark Fantasy, Gothic, Transhumanism, Survival, Survival Horror, Medieval, Dark, Singleplayer, 3D Platformer, Simulation, Indie"
551550,ASSASSINATION BOX,ZELENIUK,ZELENIUK,43,84,0,"100,000 .. 200,000",229,0,213,0,59,599,90,1,"English, Russian","Action, Indie","Action, Indie, Competitive, Character Customization, Gun Customization, Minimalist"
1478340,Turbo Sliders Unlimited,Antti Mannisto,Antti Mannisto,58,6,0,"100,000 .. 200,000",0,0,0,0,1199,1499,20,1,English,"Casual, Indie, Racing, Simulation, Sports, Early Access","Early Access, Racing, Multiplayer, Driving, Level Editor, Moddable, Physics, Top-Down, Arcade, Automobile Sim, e-sports, Local Multiplayer, Casual, 4 Player Local, Split Screen, Sports, 3D, Retro, Character Customization, Controller"
1703100,Crusade in Europe,Microprose,Atari,6,1,0,"100,000 .. 200,000",0,0,0,0,349,699,50,0,English,"Simulation, Strategy","Strategy, Board Game, RTS, Tabletop, Turn-Based Tactics, Wargame, 2D, Minimalist, Top-Down, 1980s, Historical, Military, Old School, Tactical, War, World War II, Singleplayer, Simulation"
683930,A Wonder,Class of  2016-2017,Campus ADN,58,57,0,"100,000 .. 200,000",63,0,63,0,0,0,0,0,English,"Adventure, Casual, Free to Play, Indie","Steampunk, 3D Platformer, Puzzle-Platformer, Third Person, Controller, Free to Play, Adventure, Indie, Casual, Horror, Female Protagonist, Puzzle, Singleplayer, 3D, Stealth, Survival, Sci-fi, Underground, Multiplayer"
474830,Time in Time,ErayTek,ErayTek,67,23,0,"100,000 .. 200,000",450,0,448,0,49,199,75,1,English,"Casual, Indie, Strategy","Indie, Strategy, Casual, Puzzle-Platformer, Difficult, Platformer, Puzzle, Side Scroller, 3D Platformer, 2.5D, Minimalist, Colorful, Robots, Family Friendly, Logic, Level Editor, Controller, Singleplayer"
1447410,Mandew vs the Colorless Curse,Suits &amp; Sandals,Suits &amp; Sandals,33,5,0,"100,000 .. 200,000",0,0,0,0,0,0,0,1,English,"Action, Adventure, Indie","Action, Adventure, Platformer, 2D, 2D Platformer, Funny, Modern, Linear, Indie, Singleplayer, Score Attack, Family Friendly"
2140410,Target React Force,Inside Universe,Inside Universe,2,0,0,"100,000 .. 200,000",0,0,0,0,1299,1299,0,1,English,"Action, Casual, Indie, Simulation, Strategy","VR, Shooter, Military, Realistic, Action, Tactical, Violent, Combat, Crime, War, Atmospheric, Immersive Sim, Simulation, FPS, PvE, Artificial Intelligence, Perma Death, Physics, Singleplayer, Gun Customization, VR Only"
614460,Amber Tail Adventure,Xyak-Xyak,Xyak-Xyak,42,24,0,"100,000 .. 200,000",247,0,247,0,99,99,0,1,"English, Russian","Action, Adventure","Action, Adventure, Pixel Graphics, 2D, Retro, Indie, Difficult, Casual, Puzzle, Arcade, Experimental, Character Action Game, War, Military, Bullet Time, Perma Death, Singleplayer, RPG, Exploration, Action-Adventure"
1568330,Samurai Chess,Minimol Games,Minimol Games,21,8,0,"100,000 .. 200,000",0,0,0,0,99,199,50,1,English,"Casual, Simulation, Strategy","Chess, Puzzle, Martial Arts, Medieval, Turn-Based Strategy, Strategy, Tabletop, Casual, Board Game, Simulation, Stylized, Assassin, Singleplayer, Sports, Turn-Based Tactics, Logic, Ninja, Relaxing, PvE, Grid-Based Movement"
1491850,ZombieWave-UnlimitedChallenges,AlloyStove,AlloyStove,5,2,0,"100,000 .. 200,000",0,0,0,0,199,199,0,1,"English, French, Italian, German, Spanish - Spain, Russian, Japanese, Simplified Chinese, Portuguese - Portugal, Spanish - Latin America, Arabic, Korean","Action, Indie, Strategy","Horror, Tactical RPG, Wargame, Survival Horror, FPS, Real Time Tactics, Outbreak Sim, Shooter, Action-Adventure, 3D, First-Person, Post-apocalyptic, Team-Based, Action, Choices Matter, Realistic, Zombies, Military, Tactical, Combat"
581670,The Astral Hero,Ardi Studio,Garage Games,60,44,0,"100,000 .. 200,000",218,0,223,0,59,599,90,1,English,"Action, Adventure, Casual, Indie","Casual, Adventure, Action, Indie"
2027370,Ball Torture,khukhrovr,khukhrovr,15,8,0,"100,000 .. 200,000",0,0,0,0,499,4999,90,1,English,Indie,"Difficult, 2D, Top-Down, Casual, Pixel Graphics, Indie, Singleplayer"
1350920,Liege Dragon,Exe Create Inc.,KEMCO,4,0,0,"100,000 .. 200,000",0,0,0,0,749,1499,50,1,"English, Japanese","Adventure, Casual, Indie, RPG, Simulation, Strategy","RPG, JRPG, Fantasy, Party-Based RPG, Pixel Graphics, Visual Novel, Retro, Dungeon Crawler, Turn-Based Strategy, Turn-Based Tactics, Singleplayer, Anime, Tactical RPG, 2D, Story Rich, Colorful, Cartoon, Comic Book, Top-Down, Cute"
1480410,Sentinel: Cursed Knight,Sentinel Studios,Sentinel Studios,15,4,0,"100,000 .. 200,000",0,0,0,0,499,499,0,1,English,"Action, Adventure, Indie, RPG","Action, Adventure, RPG, Action RPG, Open World, Action Roguelike, Hack and Slash, Tactical RPG, 3D, Colorful, Realistic, Third Person, Dark Fantasy, Gothic, Medieval, Choices Matter, Combat, PvE, Story Rich, Singleplayer"
